industry,pillar_imbalance,environment_score_norm,social_score_norm,governance_score_norm
Aerospace and Defense,0.32,0.51,0.27,0.54
Banking,0.3,0.27,0.26,0.47
Biotechnology,0.41,0.21,0.22,0.54
Building,0.36,0.53,0.29,0.54
Chemicals,0.33,0.51,0.29,0.54
Consumer products,0.32,0.36,0.25,0.5
Electrical Equipment,0.37,0.35,0.22,0.51
Energy,0.39,0.61,0.29,0.55
Financial Services,0.3,0.32,0.23,0.48
Food Products,0.33,0.61,0.3,0.57
Health Care,0.33,0.34,0.25,0.5
Hotels Restaurants and Leisure,0.28,0.32,0.24,0.46
Insurance,0.35,0.43,0.27,0.54
Life Sciences Tools and Services,0.36,0.43,0.27,0.5
Machinery,0.29,0.5,0.3,0.5
Media,0.36,0.28,0.3,0.5
Metals and Mining,0.31,0.44,0.26,0.49
Pharmaceuticals,0.35,0.31,0.22,0.5
Real Estate,0.33,0.45,0.26,0.5
Retail,0.31,0.35,0.23,0.47
Semiconductors,0.31,0.48,0.27,0.52
Technology,0.32,0.46,0.29,0.52
Utilities,0.36,0.68,0.39,0.52
